Producto,Categoría,Cantidad,Precio Total,Fecha
"Arroz Diana 1Kg","Granos y cereales",8,518800.00,"2026-03-14 01:27:00"
"Arroz Roa 5Kg","Granos y cereales",8,518800.00,"2026-03-14 01:27:00"
"Lentejas 500g","Granos y cereales",11,518800.00,"2026-03-14 01:27:00"
"Frijol rojo 500g","Granos y cereales",5,518800.00,"2026-03-14 01:27:00"
"Pasta Doria Espagueti 250g","Granos y cereales",7,518800.00,"2026-03-14 01:27:00"
"Harina de Trigo 1Kg","Granos y cereales",2,518800.00,"2026-03-14 01:27:00"
"Leche Alqueria Entera 1L","Lacteos",12,518800.00,"2026-03-14 01:27:00"
"Leche Colanta Deslactosada 1L","Lacteos",6,518800.00,"2026-03-14 01:27:00"
"Yogurt Alpina 1L","Lacteos",11,518800.00,"2026-03-14 01:27:00"
"Queso Campesino 500g","Lacteos",4,518800.00,"2026-03-14 01:27:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",4,518800.00,"2026-03-14 01:27:00"
"Jugo Hit Naranja 1L","Bebidas",4,518800.00,"2026-03-14 01:27:00"
"Agua Cristal 600ml","Bebidas",7,518800.00,"2026-03-14 01:27:00"
"Cerveza Poker 330ml","Bebidas",9,518800.00,"2026-03-14 01:27:00"
"Aguardiante Antioqueno 375ml","Bebidas",2,493300.00,"2026-03-14 01:00:00"
"Atun Van Camps 160g","Enlatados",1,493300.00,"2026-03-14 01:00:00"
"Sardina Isabel 170g","Enlatados",2,493300.00,"2026-03-14 01:00:00"
"Frijoles enlatados Zenú 300g","Enlatados",3,493300.00,"2026-03-14 01:00:00"
"Salchicha Ranchera x5","Enlatados",4,493300.00,"2026-03-14 01:00:00"
"Papas Margarita Natural 30g","Snacks",4,493300.00,"2026-03-14 01:00:00"
"Galletas Festival Chocolate","Snacks",11,493300.00,"2026-03-14 01:00:00"
"Chocolate Jet 50g","Snacks",3,493300.00,"2026-03-14 01:00:00"
"Chocoramo","Snacks",3,493300.00,"2026-03-14 01:00:00"
"Aceite Girasol 1L","Basicos hogar",9,493300.00,"2026-03-14 01:00:00"
"Azucar Manuelita 1Kg","Basicos hogar",8,493300.00,"2026-03-14 01:00:00"
"Cafe Sello Rojo 250g","Basicos hogar",11,493300.00,"2026-03-14 01:00:00"
"Panela redonda 500g","Basicos hogar",5,493300.00,"2026-03-14 01:00:00"
"Huevos x30 unidades","Basicos hogar",10,493300.00,"2026-03-14 01:00:00"
"Arroz Diana 1Kg","Granos y cereales",6,517500.00,"2026-03-13 01:55:00"
"Arroz Roa 5Kg","Granos y cereales",7,517500.00,"2026-03-13 01:55:00"
"Lentejas 500g","Granos y cereales",12,517500.00,"2026-03-13 01:55:00"
"Frijol rojo 500g","Granos y cereales",9,517500.00,"2026-03-13 01:55:00"
"Avena Quaker 400g","Granos y cereales",3,517500.00,"2026-03-13 01:55:00"
"Pasta Doria Espagueti 250g","Granos y cereales",11,517500.00,"2026-03-13 01:55:00"
"Leche Alqueria Entera 1L","Lacteos",9,517500.00,"2026-03-13 01:55:00"
"Leche Colanta Deslactosada 1L","Lacteos",6,517500.00,"2026-03-13 01:55:00"
"Yogurt Alpina 1L","Lacteos",12,517500.00,"2026-03-13 01:55:00"
"Queso Campesino 500g","Lacteos",3,517500.00,"2026-03-13 01:55:00"
"Mantequilla 250g","Lacteos",4,517500.00,"2026-03-13 01:55:00"
"Coca-Cola 350ml","Bebidas",9,517500.00,"2026-03-13 01:55:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",4,517500.00,"2026-03-13 01:55:00"
"Jugo Hit Naranja 1L","Bebidas",4,517500.00,"2026-03-13 01:55:00"
"Agua Cristal 600ml","Bebidas",9,462100.00,"2026-03-12 15:27:00"
"Cerveza Poker 330ml","Bebidas",11,462100.00,"2026-03-12 15:27:00"
"Papel Higienico Familia x4","Aseo",1,462100.00,"2026-03-12 15:27:00"
"Sardina Isabel 170g","Enlatados",2,462100.00,"2026-03-12 15:27:00"
"Frijoles enlatados Zenú 300g","Enlatados",5,462100.00,"2026-03-12 15:27:00"
"Papas Margarita Natural 30g","Snacks",12,462100.00,"2026-03-12 15:27:00"
"Galletas Festival Chocolate","Snacks",5,462100.00,"2026-03-12 15:27:00"
"Chiclets Adams x3","Snacks",2,462100.00,"2026-03-12 15:27:00"
"Chocoramo","Snacks",7,462100.00,"2026-03-12 15:27:00"
"Aceite Girasol 1L","Basicos hogar",9,462100.00,"2026-03-12 15:27:00"
"Azucar Manuelita 1Kg","Basicos hogar",5,462100.00,"2026-03-12 15:27:00"
"Cafe Sello Rojo 250g","Basicos hogar",5,462100.00,"2026-03-12 15:27:00"
"Panela redonda 500g","Basicos hogar",5,462100.00,"2026-03-12 15:27:00"
"Huevos x30 unidades","Basicos hogar",11,462100.00,"2026-03-12 15:27:00"
"Arroz Diana 1Kg","Granos y cereales",5,692200.00,"2026-03-11 12:37:00"
"Lentejas 500g","Granos y cereales",4,692200.00,"2026-03-11 12:37:00"
"Frijol rojo 500g","Granos y cereales",5,692200.00,"2026-03-11 12:37:00"
"Avena Quaker 400g","Granos y cereales",5,692200.00,"2026-03-11 12:37:00"
"Pasta Doria Espagueti 250g","Granos y cereales",8,692200.00,"2026-03-11 12:37:00"
"Leche Alqueria Entera 1L","Lacteos",6,692200.00,"2026-03-11 12:37:00"
"Leche Colanta Deslactosada 1L","Lacteos",12,692200.00,"2026-03-11 12:37:00"
"Yogurt Alpina 1L","Lacteos",10,692200.00,"2026-03-11 12:37:00"
"Queso Campesino 500g","Lacteos",3,692200.00,"2026-03-11 12:37:00"
"Mantequilla 250g","Lacteos",2,692200.00,"2026-03-11 12:37:00"
"Coca-Cola 350ml","Bebidas",3,692200.00,"2026-03-11 12:37:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",12,692200.00,"2026-03-11 12:37:00"
"Jugo Hit Naranja 1L","Bebidas",3,692200.00,"2026-03-11 12:37:00"
"Agua Cristal 600ml","Bebidas",5,692200.00,"2026-03-11 12:37:00"
"Cerveza Poker 330ml","Bebidas",8,692200.00,"2026-03-11 12:37:00"
"Aguardiante Antioqueno 375ml","Bebidas",1,692200.00,"2026-03-11 12:37:00"
"Papel Higienico Familia x4","Aseo",1,692200.00,"2026-03-11 12:37:00"
"Atun Van Camps 160g","Enlatados",3,692200.00,"2026-03-11 12:37:00"
"Salchicha Ranchera x5","Enlatados",5,692200.00,"2026-03-11 12:37:00"
"Galletas Festival Chocolate","Snacks",6,692200.00,"2026-03-11 12:37:00"
"Chocoramo","Snacks",4,692200.00,"2026-03-11 12:37:00"
"Aceite Girasol 1L","Basicos hogar",4,692200.00,"2026-03-11 12:37:00"
"Azucar Manuelita 1Kg","Basicos hogar",6,692200.00,"2026-03-11 12:37:00"
"Cafe Sello Rojo 250g","Basicos hogar",7,692200.00,"2026-03-11 12:37:00"
"Huevos x30 unidades","Basicos hogar",8,692200.00,"2026-03-11 12:37:00"
"Detergente Fab 1Kg","Aseo",1,160200.00,"2026-03-10 20:44:00"
"Papel Higienico Familia x4","Aseo",1,160200.00,"2026-03-10 20:44:00"
"Cloro Blancox 500ml","Aseo",2,160200.00,"2026-03-10 20:44:00"
"Frijoles enlatados Zenú 300g","Enlatados",2,160200.00,"2026-03-10 20:44:00"
"Salchicha Ranchera x5","Enlatados",3,160200.00,"2026-03-10 20:44:00"
"Papas Margarita Natural 30g","Snacks",4,160200.00,"2026-03-10 20:44:00"
"Galletas Festival Chocolate","Snacks",11,160200.00,"2026-03-10 20:44:00"
"Chocoramo","Snacks",11,160200.00,"2026-03-10 20:44:00"
"Aceite Girasol 1L","Basicos hogar",4,160200.00,"2026-03-10 20:44:00"
"Azucar Manuelita 1Kg","Basicos hogar",7,160200.00,"2026-03-10 20:44:00"
"Panela redonda 500g","Basicos hogar",1,160200.00,"2026-03-10 20:44:00"
"Arroz Diana 1Kg","Granos y cereales",4,385800.00,"2026-03-10 14:55:00"
"Arroz Roa 5Kg","Granos y cereales",8,385800.00,"2026-03-10 14:55:00"
"Frijol rojo 500g","Granos y cereales",10,385800.00,"2026-03-10 14:55:00"
"Avena Quaker 400g","Granos y cereales",5,385800.00,"2026-03-10 14:55:00"
"Pasta Doria Espagueti 250g","Granos y cereales",9,385800.00,"2026-03-10 14:55:00"
"Leche Alqueria Entera 1L","Lacteos",4,385800.00,"2026-03-10 14:55:00"
"Leche Colanta Deslactosada 1L","Lacteos",3,385800.00,"2026-03-10 14:55:00"
"Coca-Cola 350ml","Bebidas",7,385800.00,"2026-03-10 14:55:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",12,385800.00,"2026-03-10 14:55:00"
"Jugo Hit Naranja 1L","Bebidas",1,385800.00,"2026-03-10 14:55:00"
"Agua Cristal 600ml","Bebidas",3,385800.00,"2026-03-10 14:55:00"
"Cerveza Poker 330ml","Bebidas",10,385800.00,"2026-03-10 14:55:00"
"Cerveza Poker 330ml","Bebidas",8,106100.00,"2026-03-09 23:18:00"
"Aguardiante Antioqueno 375ml","Bebidas",1,106100.00,"2026-03-09 23:18:00"
"Detergente Fab 1Kg","Aseo",2,106100.00,"2026-03-09 23:18:00"
"Papel Higienico Familia x4","Aseo",1,106100.00,"2026-03-09 23:18:00"
"Frijoles enlatados Zenú 300g","Enlatados",2,106100.00,"2026-03-09 23:18:00"
"Salchicha Ranchera x5","Enlatados",4,106100.00,"2026-03-09 23:18:00"
"Papas Margarita Natural 30g","Snacks",5,106100.00,"2026-03-09 23:18:00"
"Galletas Festival Chocolate","Snacks",11,290700.00,"2026-03-09 19:31:00"
"Chocoramo","Snacks",3,290700.00,"2026-03-09 19:31:00"
"Aceite Girasol 1L","Basicos hogar",7,290700.00,"2026-03-09 19:31:00"
"Azucar Manuelita 1Kg","Basicos hogar",5,290700.00,"2026-03-09 19:31:00"
"Cafe Sello Rojo 250g","Basicos hogar",3,290700.00,"2026-03-09 19:31:00"
"Huevos x30 unidades","Basicos hogar",10,290700.00,"2026-03-09 19:31:00"
"Arroz Roa 5Kg","Granos y cereales",7,250700.00,"2026-03-09 17:48:00"
"Lentejas 500g","Granos y cereales",11,250700.00,"2026-03-09 17:48:00"
"Frijol rojo 500g","Granos y cereales",5,250700.00,"2026-03-09 17:48:00"
"Pasta Doria Espagueti 250g","Granos y cereales",3,250700.00,"2026-03-09 17:48:00"
"Harina de Trigo 1Kg","Granos y cereales",2,250700.00,"2026-03-09 17:48:00"
"Leche Alqueria Entera 1L","Lacteos",4,250700.00,"2026-03-09 17:48:00"
"Leche Colanta Deslactosada 1L","Lacteos",4,250700.00,"2026-03-09 17:48:00"
"Yogurt Alpina 1L","Lacteos",8,134600.00,"2026-03-09 15:22:00"
"Queso Campesino 500g","Lacteos",2,134600.00,"2026-03-09 15:22:00"
"Mantequilla 250g","Lacteos",1,134600.00,"2026-03-09 15:22:00"
"Coca-Cola 350ml","Bebidas",3,134600.00,"2026-03-09 15:22:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",12,134600.00,"2026-03-09 15:22:00"
"Jugo Hit Naranja 1L","Bebidas",5,134600.00,"2026-03-09 15:22:00"
"Agua Cristal 600ml","Bebidas",10,134600.00,"2026-03-09 15:22:00"
"Yogurt Alpina 1L","Lacteos",13,205500.00,"2026-03-09 01:29:00"
"Queso Campesino 500g","Lacteos",1,205500.00,"2026-03-09 01:29:00"
"Mantequilla 250g","Lacteos",7,205500.00,"2026-03-09 01:29:00"
"Coca-Cola 350ml","Bebidas",12,205500.00,"2026-03-09 01:29:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",4,205500.00,"2026-03-09 01:29:00"
"Agua Cristal 600ml","Bebidas",13,205500.00,"2026-03-09 01:29:00"
"Cerveza Poker 330ml","Bebidas",9,205500.00,"2026-03-09 01:29:00"
"Papel Higienico Familia x4","Aseo",1,205500.00,"2026-03-09 01:29:00"
"Cepillo de Dientes Colgate","Aseo",1,110100.00,"2026-03-08 17:17:00"
"Atun Van Camps 160g","Enlatados",3,110100.00,"2026-03-08 17:17:00"
"Frijoles enlatados Zenú 300g","Enlatados",3,110100.00,"2026-03-08 17:17:00"
"Salchicha Ranchera x5","Enlatados",5,110100.00,"2026-03-08 17:17:00"
"Papas Margarita Natural 30g","Snacks",4,110100.00,"2026-03-08 17:17:00"
"Galletas Festival Chocolate","Snacks",10,110100.00,"2026-03-08 17:17:00"
"Chocolate Jet 50g","Snacks",7,110100.00,"2026-03-08 17:17:00"
"Chocoramo","Snacks",8,110100.00,"2026-03-08 17:17:00"
"Arroz Diana 1Kg","Granos y cereales",7,477600.00,"2026-03-08 15:14:00"
"Arroz Roa 5Kg","Granos y cereales",12,477600.00,"2026-03-08 15:14:00"
"Lentejas 500g","Granos y cereales",12,477600.00,"2026-03-08 15:14:00"
"Frijol rojo 500g","Granos y cereales",10,477600.00,"2026-03-08 15:14:00"
"Pasta Doria Espagueti 250g","Granos y cereales",9,477600.00,"2026-03-08 15:14:00"
"Harina de Trigo 1Kg","Granos y cereales",3,477600.00,"2026-03-08 15:14:00"
"Leche Alqueria Entera 1L","Lacteos",12,477600.00,"2026-03-08 15:14:00"
"Leche Colanta Deslactosada 1L","Lacteos",8,477600.00,"2026-03-08 15:14:00"
"Aceite Girasol 1L","Basicos hogar",9,276900.00,"2026-03-08 12:33:00"
"Azucar Manuelita 1Kg","Basicos hogar",4,276900.00,"2026-03-08 12:33:00"
"Sal Refisal 1Kg","Basicos hogar",3,276900.00,"2026-03-08 12:33:00"
"Cafe Sello Rojo 250g","Basicos hogar",4,276900.00,"2026-03-08 12:33:00"
"Panela redonda 500g","Basicos hogar",4,276900.00,"2026-03-08 12:33:00"
"Huevos x30 unidades","Basicos hogar",8,276900.00,"2026-03-08 12:33:00"
"Arroz Diana 1Kg","Granos y cereales",12,994400.00,"2026-03-07 17:47:00"
"Arroz Roa 5Kg","Granos y cereales",5,994400.00,"2026-03-07 17:47:00"
